Date,Description,Misc. without GST,Subcontract,Wages,New Home,Insurance,Taxes and Super,Accounting Fees,Transfers,Misc. with GST
01/10/2022,Debit Excess Interest,0.05,,,,,,,,
,Account Fee,10.0,,,,,,,,
08/10/2022,Transfer to xx7192 NetBank Everyday Offset,,,,,,,,2000.0,
,Transfer to other Bank NetBank REF108124249,,,,,,750.0,,,
13/10/2022,Optus,,,,,,,,,79.0
16/10/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
18/10/2022,Mastercard Payment,,,,,,,,400.0,
30/10/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
01/11/2022,Account Fee,10.0,,,,,,,,
05/11/2022,Transfer To Everkeen Constructions Pty L NetBank Origin Gas Reimburse 3 Eckers...,227.89,,,,,,,,
11/11/2022,Optus,,,,,,,,,79.0
12/11/2022,Transfer to xx7192 CommBank app Everyday Offset  ,,,,,,,,5000.0,
18/11/2022,Transfer to xx9950 CommBank app Qi qiong,,,1320.0,,,,,,
21/11/2022,Mastercard Payment,,,,,,,,3000.0,
24/11/2022,Mastercard Payment,,,,,,,,1000.0,
29/11/2022,Mastercard Payment,,,,,,,,1500.0,
01/12/2022,Account Fee,10.0,,,,,,,,
06/12/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
,Transfer to xx3062 NetBank Mastercard,,,,,,,,2000.0,
12/12/2022,Optus,,,,,,,,,79.0
17/12/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
,Transfer To Fintax Solutions NetBank FY2020 Preparation,,,,,,,2420.0,,
24/12/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
27/12/2022,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
31/12/2022,Transfer To Cabinet Market Pty Ltd NetBank Cabinets Eckersall,10780.0,,,,,,,,
