Date,Description,Misc.,Invoices,Tax Refund,Transfers
13/10/2022,Direct Credit 012721 ATO ATO42626469814I002,,,1786.0,
26/10/2022,Everkeen CREDIT TO ACCOUNT INV0252,,8343.5,,
06/11/2022,Fast Transfer From DONG LENG INV 0251,,1897.5,,
17/11/2022,Everkeen CREDIT TO ACCOUNT INV0253,,1650.0,,
21/11/2022,Direct Credit 141000 EVERKEEN INV0255,,462.0,,
25/11/2022,Everkeen CREDIT TO ACCOUNT INV0254,,1353.0,,
,Direct Credit 141000 EVERKEEN INV0256,,550.0,,
05/12/2022,Everkeen CREDIT TO ACCOUNT INV0257,,7683.5,,
13/12/2022,Everkeen CREDIT TO ACCOUNT INV0258,,1595.0,,
21/12/2022,Everkeen CREDIT TO ACCOUNT INV0259,,2350.0,,
22/12/2022,Direct Credit 141000 EVERKEEN INV0261,,528.0,,
31/12/2022,Transfer from NetBank Everyday Offset,,,,10000.0
