Date,Description,Misc.,Home Loan,Transfers,Withdrawals,Insurance
01/10/2022,Debit Excess Interest,0.07,,,,
11/10/2022,Home Loan,,4420.0,,,
14/10/2022,TAX OFFICE PAYMENTS NetBank BPAY 75556 551004107652070121,220.91,,,,
17/10/2022,AIA Australia,,,,,243.75
22/10/2022,Transfer to xx3062 NetBank Mastercard,,,500.0,,
23/10/2022,Wdl ATM CBA ATM PRESTON B VIC 316302 AUS,,,,400.0,
11/11/2022,Home Loan,,4420.0,,,
12/11/2022,Unpaid Payment Fee  ,5.0,,,,
,Home Loan,,4420.0,,,
,Mastercard Payment,,,500.0,,
15/11/2022,AIA Australia,,,,,243.75
15/12/2022,Mastercard Payment,,,20000.0,,
,AIA Australia,,,,,243.75
17/12/2022,Mastercard Payment,,,4500.0,,
31/12/2022,Transfer to CBA A/c NetBank Business Trans Acc,,,10000.0,,
,Transfer to xx9950 CommBank app Qi Qiong,10000.0,,,,
