Date,Description,Misc.,Take Away,Tools,New Home,Petrol and Toll,Utilities,Groceries,Insurance,Children,Holiday
04/10/2022,Allison Browning,,,,,,,,,200.0,
05/10/2022,EG Group,,,,,61.64,,,,,
06/10/2022,IGA,,,,,,,104.9,,,
07/10/2022,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
,REPCOBRUNSWICKVIC,,,27.0,,,,,,,
08/10/2022,Bunnings,,,10.26,,,,,,,
,Chemist Warehouse,,,,,,,10.98,,,
09/10/2022,McDonalds,,13.35,,,,,,,,
10/10/2022,A1 BAKERYBRUNSWICKVIC,107.95,,,,,,,,,
12/10/2022,EG Group,,,,,34.76,,,,,
,McDonalds,,17.95,,,,,,,,
13/10/2022,INTEREST CHARGES,392.21,,,,,,,,,
,Coles Express,,,,,72.38,,,,,
,Simply Energy PaymentMelbourneAUS,72.48,,,,,,,,,
14/10/2022,Xero,,,,,,59.0,,,,
15/10/2022,Hungry Jacks,,19.55,,,,,,,,
16/10/2022,Hungry Jacks,,16.75,,,,,,,,
17/10/2022,IGA,,,,,,,115.13,,,
,McDonalds,,12.15,,,,,,,,
18/10/2022,Yarra Valley Water,,,,,,323.54,,,,
,Coles Express,,,,,79.9,,,,,
,McDonalds,,20.25,,,,,,,,
19/10/2022,Allison Browning,,,,,,,,,200.0,
,Belong,,,,,,25.0,,,,
22/10/2022,Bunnings,,,50.64,,,,,,,
,Hungry Jacks,,19.55,,,,,,,,
23/10/2022,Hungry Jacks,,19.55,,,,,,,,
24/10/2022,Coles Express,,,,,79.12,,,,,
27/10/2022,IGA,,,,,,,104.9,,,
,Healthy Pets,,,,,,,,,45.0,
28/10/2022,Belong,,,,,,30.0,,,,
,Woolworths,,,,,,,126.18,,,
,Woolworths,,,,,,,86.0,,,
,EG Group,,,,,58.84,,,,,
29/10/2022,Coles Express,,,,,91.29,,,,,
,McDonalds,,13.15,,,,,,,,
31/10/2022,OVERLIMIT FEE,10.0,,,,,,,,,
02/11/2022,IGA,,,,,,,125.36,,,
,Chemist Warehouse,,,,,,,20.99,,,
04/11/2022,AA BURWOOD EAST 3864BURWOOD EASTVIC,80.61,,,,,,,,,
08/11/2022,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
09/11/2022,Allison Browning,,,,,,,,,220.0,
10/11/2022,EG Group,,,,,52.38,,,,,
11/11/2022,INTEREST CHARGES,403.33,,,,,,,,,
12/11/2022,Hungry Jacks,,15.75,,,,,,,,
,7-Eleven,,,,,82.29,,,,,
14/11/2022,IGA,,,,,,,115.13,,,
,Xero,,,,,,59.0,,,,
,OVERLIMIT FEE,10.0,,,,,,,,,
16/11/2022,McDonalds,,26.3,,,,,,,,
17/11/2022,ALDI,,,,,,,381.73,,,
,Kmart,,,,,,,50.0,,,
,Kmart,,,,,,,47.5,,,
,Woolworths,,,,,,,123.4,,,
18/11/2022,EG Group,,,,,82.52,,,,,
19/11/2022,Hungry Jacks,,22.55,,,,,,,,
,Belong,,,,,,25.0,,,,
21/11/2022,Chemist Warehouse,,,,,,,68.95,,,
22/11/2022,Simply Energy PaymentMelbourneAUS,120.59,,,,,,,,,
,McDonalds,,53.2,,,,,,,,
23/11/2022,IGA,,,,,,,104.9,,,
,Hungry Jacks,,65.2,,,,,,,,
,Coles Express,,,,,86.3,,,,,
,Allison Browning,,,,,,,,,200.0,
24/11/2022,HARVEY NORMAN RICHMORICHMONDVIC,448.0,,,,,,,,,
25/11/2022,Simply Energy PaymentMelbourneAUS,19.91,,,,,,,,,
26/11/2022,Hungry Jacks,,23.0,,,,,,,,
27/11/2022,ALDI,,,,,,,819.69,,,
,Healthy Pets,,,,,,,,,45.0,
,Coles Express,,,,,63.81,,,,,
,EG Group,,,,,57.03,,,,,
,Chemist Warehouse,,,,,,,62.97,,,
28/11/2022,Hungry Jacks,,73.2,,,,,,,,
,Belong,,,,,,30.0,,,,
29/11/2022,ALDI,,,,,,,506.5,,,
,McDonalds,,30.8,,,,,,,,
01/12/2022,Woolworths,,,,,,,121.3,,,
,McDonalds,,39.9,,,,,,,,
02/12/2022,IGA,,,,,,,115.13,,,
,Chemist Warehouse,,,,,,,10.99,,,
03/12/2022,Coles Express,,,,,60.72,,,,,
05/12/2022,McDonalds,,39.9,,,,,,,,
06/12/2022,RACV,,,,,,,,1711.15,,
,MELB ONSTREET PARKINGMELBOURNE,4.0,,,,,,,,,
,McDonalds,,15.15,,,,,,,,
07/12/2022,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
,McDonalds,,53.6,,,,,,,,
08/12/2022,EG Group,,,,,119.05,,,,,
09/12/2022,BP DANDENONG 3940DANDENONGVIC,,,,,70.72,,,,,
,KFC,,49.35,,,,,,,,
12/12/2022,Woolworths,,,,,,,136.6,,,
,McDonalds,,53.6,,,,,,,,
13/12/2022,IGA,,,,,,,138.26,,,
,INTEREST CHARGES,442.58,,,,,,,,,
,Allison Browning,,,,,,,,,200.0,
,McDonalds,,22.9,,,,,,,,
14/12/2022,OVERLIMIT FEE,10.0,,,,,,,,,
,Xero,,,,,,59.0,,,,
,Chemist Warehouse,,,,,,,19.99,,,
15/12/2022,McDonalds,,39.9,,,,,,,,
16/12/2022,LIGHTINTHEBOXSEATTLEWA ## USA MERCHANT,40.94,,,,,,,,,
,INTNL TRANSACTION FEE,1.23,,,,,,,,,
,McDonalds,,26.5,,,,,,,,
17/12/2022,Allianz,,,,,,,,11565.46,,
18/12/2022,ALDI,,,,,,,195.94,,,
19/12/2022,Belong,,,,,,25.0,,,,
,McDonalds,,26.5,,,,,,,,
20/12/2022,Chemist Warehouse,,,,,,,20.99,,,
,McDonalds,,26.5,,,,,,,,
21/12/2022,Coles Express,,,,,69.3,,,,,
,Spotlight,,,,763.25,,,,,,
,McDonalds,,39.9,,,,,,,,
22/12/2022,Bunnings,,,358.15,,,,,,,
,AUTOMOTIVE BRANDS GRDONCASTERVIC,166.97,,,,,,,,,
,McDonalds,,39.9,,,,,,,,
23/12/2022,McDonalds,,26.5,,,,,,,,
24/12/2022,Spotlight,,,,1168.0,,,,,,
26/12/2022,Woolworths,,,,,,,115.48,,,
27/12/2022,Tim Ho Wan MelbourneMelbourneVIC,229.25,,,,,,,,,
,Healthy Pets,,,,,,,,,45.0,
,400 Gradi BrunswickBrunswick EaVIC,502.5,,,,,,,,,
,Chemist Warehouse,,,,,,,21.56,,,
28/12/2022,Bunnings,,,479.0,,,,,,,
,Belong,,,,,,30.0,,,,
29/12/2022,Bunnings,,,298.97,,,,,,,
,Bunnings,,,84.9,,,,,,,
30/12/2022,Chemist Warehouse,,,,,,,28.98,,,
,EG Group,,,,,58.77,,,,,
,Spotlight,,,,558.0,,,,,,
,Spotlight,,,,836.75,,,,,,
,McDonalds,,26.1,,,,,,,,
