Date,Description,Misc.,Takeaway,Tools,New Home,Petrol and Toll,Utilites,Groceries,Insurance,Children,Holiday
31/12/2022,Bunnings,,,270.45,,,,,,,
30/12/2022,McDonalds,,26.1,,,,,,,,
,Spotlight,,,,836.75,,,,,,
,Spotlight,,,,558.0,,,,,,
,EG Group,,,,,58.77,,,,,
,CHEMIST WAREHOUSE,,,,,,,28.98,,,
29/12/2022,Bunnings,,,84.9,,,,,,,
,Bunnings,,,298.97,,,,,,,
28/12/2022,Belong,,,,,,30.0,,,,
,Bunnings,,,479.0,,,,,,,
27/12/2022,CHEMIST WAREHOUSE,,,,,,,21.56,,,
,400 Gradi BrunswickBrunswick EaVIC,502.5,,,,,,,,,
,Healthy Pets,,,,,,,,,45.0,
,Tim Ho Wan MelbourneMelbourneVIC,229.25,,,,,,,,,
26/12/2022,Woolworths,,,,,,,115.48,,,
24/12/2022,Spotlight,,,,1168.0,,,,,,
23/12/2022,McDonalds,,26.5,,,,,,,,
22/12/2022,McDonalds,,39.9,,,,,,,,
,AUTOMOTIVE BRANDS GRDONCASTERVIC,166.97,,,,,,,,,
,Bunnings,,,358.15,,,,,,,
21/12/2022,McDonalds,,39.9,,,,,,,,
,Spotlight,,,,763.25,,,,,,
,Coles Express,,,,,69.3,,,,,
20/12/2022,McDonalds,,26.5,,,,,,,,
,CHEMIST WAREHOUSE,,,,,,,20.99,,,
19/12/2022,McDonalds,,26.5,,,,,,,,
,Belong,,,,,,25.0,,,,
18/12/2022,ALDI,,,,,,,195.94,,,
17/12/2022,Allianz,,,,,,,,11565.46,,
16/12/2022,McDonalds,,26.5,,,,,,,,
,INTNL TRANSACTION FEE,1.23,,,,,,,,,
,LIGHTINTHEBOXSEATTLEWA ## USA MERCHANT,40.94,,,,,,,,,
15/12/2022,McDonalds,,39.9,,,,,,,,
14/12/2022,CHEMIST WAREHOUSE,,,,,,,19.99,,,
,Xero,,,,,,59.0,,,,
,OVERLIMIT FEE,10.0,,,,,,,,,
13/12/2022,McDonalds,,22.9,,,,,,,,
,Allison Browning,,,,,,,,,200.0,
,INTEREST CHARGES,442.58,,,,,,,,,
,IGA,,,,,,,138.26,,,
12/12/2022,McDonalds,,53.6,,,,,,,,
,Woolworths,,,,,,,136.6,,,
09/12/2022,KFC,,49.35,,,,,,,,
,BP DANDENONG 3940DANDENONGVIC,,,,,70.72,,,,,
08/12/2022,EG Group,,,,,119.05,,,,,
07/12/2022,McDonalds,,53.6,,,,,,,,
,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
06/12/2022,McDonalds,,15.15,,,,,,,,
,MELB ONSTREET PARKINGMELBOURNE,4.0,,,,,,,,,
,RACV,,,,,,,,1711.15,,
05/12/2022,McDonalds,,39.9,,,,,,,,
03/12/2022,Coles Express,,,,,60.72,,,,,
02/12/2022,Chemist Warehouse,,,,,,,10.99,,,
,IGA,,,,,,,115.13,,,
01/12/2022,McDonalds,,39.9,,,,,,,,
,Woolworths,,,,,,,121.3,,,
29/11/2022,McDonalds,,30.8,,,,,,,,
,ALDI,,,,,,,506.5,,,
28/11/2022,Belong,,,,,,30.0,,,,
,Hungry JacksMooroolbark AUS,,73.2,,,,,,,,
27/11/2022,CHEMIST WAREHOUSE,,,,,,,62.97,,,
,EG Group,,,,,57.03,,,,,
,Coles Express,,,,,63.81,,,,,
,Healthy Pets,,,,,,,,,45.0,
,ALDI,,,,,,,819.69,,,
26/11/2022,Hungry JacksScoresbyAUS,,23.0,,,,,,,,
25/11/2022,Simply Energy PaymentMelbourneAUS,19.91,,,,,,,,,
24/11/2022,HARVEY NORMAN RICHMORICHMONDVIC,448.0,,,,,,,,,
23/11/2022,Allison Browning,,,,,,,,,200.0,
,Coles Express,,,,,86.3,,,,,
,Hungry JacksMooroolbark AUS,,65.2,,,,,,,,
,IGA,,,,,,,104.9,,,
22/11/2022,McDonalds,,53.2,,,,,,,,
,Simply Energy PaymentMelbourneAUS,120.59,,,,,,,,,
21/11/2022,Chemist Warehouse,,,,,,,68.95,,,
19/11/2022,Belong,,,,,,25.0,,,,
,Hungry JacksBurwoodAUS,,22.55,,,,,,,,
18/11/2022,EG Group,,,,,82.52,,,,,
17/11/2022,Woolworths,,,,,,,123.4,,,
,Kmart,,,,,,,47.5,,,
,Kmart,,,,,,,50.0,,,
,ALDI,,,,,,,381.73,,,
16/11/2022,McDonalds,,26.3,,,,,,,,
14/11/2022,OVERLIMIT FEE,10.0,,,,,,,,,
,Xero,,,,,,59.0,,,,
,IGA,,,,,,,115.13,,,
12/11/2022,7-Eleven,,,,,82.29,,,,,
,Hungry JacksBurwoodAUS,,15.75,,,,,,,,
11/11/2022,INTEREST CHARGES,403.33,,,,,,,,,
10/11/2022,EG Group,,,,,52.38,,,,,
09/11/2022,Allison Browning,,,,,,,,,220.0,
08/11/2022,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
