Date,Description,Misc. without GST,Subcontract,Wages,New Home,Insurance,Taxes and Super,Accounting Fees,Transfers,Misc. with GST
01/01/2023,Account Fee,10.0,,,,,,,,
13/01/2023,TAX OFFICE PAYMENTS NetBank BPAY 75556 002426264698144560 Jul to Sep BAS,1053.0,,,,,,,,
,Transfer to other Bank NetBank REF108124249,,,,,,427.5,,,
16/01/2023,Optus,,,,,,,,,79.0
24/01/2023,Mastercard Payment,,,,,,,,1300.0,
27/01/2023,Mastercard Payment,,,,,,,,1000.0,
01/02/2023,Account Fee,10.0,,,,,,,,
13/02/2023,Optus,,,,,,,,,79.0
14/02/2023,Mastercard Payment,,,,,,,,2500.0,
25/02/2023,Mastercard Payment,,,,,,,,700.0,
01/03/2023,Account Fee,10.0,,,,,,,,
11/03/2023,Transfer To Mohammad Islam CommBank App Concrete Asphalt,4290.0,,,,,,,,
14/03/2023,Transfer To RW BUILDING CONSTRUCTION PTY NetBank Labour Cost,110.0,,,,,,,,
,Optus,,,,,,,,,79.0
15/03/2023,Transfer To Mohammad Islam CommBank App Concrete Asphalt Footpat...,4290.0,,,,,,,,
22/03/2023,Transfer to xx9950 CommBank app Qi Qiong,,,1320.0,,,,,,
25/03/2023,VICROADS NetBank BPAY 216291 529231047748882 RLW820 Reg Fee,864.4,,,,,,,,
27/03/2023,Transfer To Fintax Solutions NetBank ZHENG5C,,,,,,,2530.0,,
