Date,Description,Misc.,Home Loan,Transfers,Withdrawals,Insurance
06/01/2023,Wdl Branch NORTHLAND CENTRE,10000.0,,,,
09/01/2023,Wdl Branch NORTHLAND CENTRE,10000.0,,,,
27/01/2023,Transfer To 3rd Stock Pty Ltd CommBank App Devanti Mini,94.0,,,,
25/02/2023,Mastercard Payment,,,700.0,,
27/02/2023,Mastercard Payment,,,17000.0,,
10/03/2023,Transfer to CBA A/c CommBank app Business,3000.0,,,,
11/03/2023,DAHU PEKING DUCJ RES MELBOURNE AU,349.36,,,,
15/03/2023,Transfer to CBA A/c CommBank app BusinessAcc,3500.0,,,,
,Transfer to CBA A/c CommBank app BusinessAcc,700.0,,,,
,Transfer to CBA A/c CommBank app Business Acc,100.0,,,,
18/03/2023,Transfer to xx9950 CommBank app Qi Qiong,600.0,,,,
