Date,Description,Misc.,Invoices,Tax Refund,Transfers
06/01/2023,Transfer from xx4569 CommBank app Netbank,10000.0,,,
09/01/2023,Transfer from xx4569 CommBank app Qi Qiong,10000.0,,,
21/01/2023,Fast Transfer From XIUFEN LI Li,500.0,,,
27/02/2023,CASH DEPOSIT CBA ATM BRUNSWICK C VIC 311103 AUS,10000.0,,,
,Transfer from xx9950 CommBank app Smart Access,7000.0,,,
10/03/2023,Transfer from xx4569 CommBank app Smart Access,3000.0,,,
11/03/2023,Transfer from xx4569 CommBank app Smart Access,4000.0,,,
15/03/2023,Transfer from xx4569 CommBank app Smart Access,500.0,,,
,Transfer from xx4569 CommBank app Smart Access,300.0,,,
18/03/2023,Transfer from xx4569 CommBank app Smart Access,400.0,,,
