Date,Description,Misc.,Take Away,Tools,New Home,Petrol and Toll,Utilities,Groceries,Insurance,Children,Holiday
01/04/2023,Kmart,,,,,,,18.0,,,
,Allison Browning,,,,,,,,,220.0,
02/04/2023,EG Group,,,,,50.56,,,,,
,Coles Express,,,,,74.75,,,,,
03/04/2023,RACV,,,,,,,,1383.1,,
05/04/2023,GREENCROSS VETSCOBURGVIC,30.6,,,,,,,,,
06/04/2023,IGA,,,,,,,118.04,,,
,Allison Browning,,,,,,,,,220.0,
,METRO PETROLEUM CARLTOCARLTONAUS,81.29,,,,,,,,,
11/04/2023,HOLLARD INSURANCECHATSWOOD,120.88,,,,,,,,,
,Woolworths,,,,,,,145.6,,,
13/04/2023,Coles Express,,,,,77.11,,,,,
,WILSON PARKING MEL252MELBOURNEVIC,15.0,,,,,,,,,
14/04/2023,IGA,,,,,,,107.9,,,
,INTEREST CHARGES,68.65,,,,,,,,,
,Xero,,,,,,59.0,,,,
,Coles Express,,,,,38.76,,,,,
17/04/2023,Chemist Warehouse,,,,,,,73.48,,,
18/04/2023,GREENCROSS VETSCOBURGVIC,1468.2,,,,,,,,,
19/04/2023,Allison Browning,,,,,,,,,220.0,
,Belong,,,,,,25.0,,,,
,7-Eleven,,,,,83.08,,,,,
20/04/2023,Kmart,,,,,,,31.25,,,
21/04/2023,EG Group,,,,,62.61,,,,,
24/04/2023,EG Group,,,,,74.44,,,,,
26/04/2023,IGA,,,,,,,113.81,,,
,MELB ONSTREET PARKINGMELBOURNE,3.3,,,,,,,,,
27/04/2023,Healthy Pets,,,,,,,,,45.0,
,EG Group,,,,,47.39,,,,,
28/04/2023,Belong,,,,,,30.0,,,,
,Dr Bilge,123.9,,,,,,,,,
29/04/2023,SQ MSYPascoe Vale VI,9.0,,,,,,,,,
,PETBARNCOBURG,75.99,,,,,,,,,
01/05/2023,AMPOL GLEN WAVERLEY 33GLEN WAVERLE,75.01,,,,,,,,,
03/05/2023,Kmart,,,,,,,32.5,,,
,COLES 7739PRESTONAUS,,,,,88.75,,,,,
,EG Group,,,,,43.57,,,,,
04/05/2023,Coles Express,,,,,80.88,,,,,
05/05/2023,Dr Bilge,246.3,,,,,,,,,
06/05/2023,Kmart,,,,,,,36.5,,,
